sample_id	read_1	read_2	sample_name
WT_me3_1	WT_1_R1.fq.gz	WT_me3_1_R2.fq.gz	WT_me3
C5_me3_1	C5_1_R1.fq.gz	C5_me3_1_R2.fq.gz	C5_me3
C9_me3_1	C9_1_R1.fq.gz	C9_me3_1_R2.fq.gz	C9_me3
WT_ac_1	WT_ac_1_R1.fq.gz	WT_ac_1_R2.fq.gz	WT_ac
C5_ac_1	C5_ac_1_R1.fq.gz	C5_ac_1_R2.fq.gz	C5_ac
C9_ac_1	C9_ac_1_R1.fq.gz	C9_ac_1_R2.fq.gz	C9_ac
WT_IgG_1	WT_IgG_1_R1.fq.gz	WT_IgG_1_R2.fq.gz	WT_IgG
C5_IgG_1	C5_IgG_1_R1.fq.gz	C5_IgG_1_R2.fq.gz	C5_IgG
C9_IgG_1	C9_IgG_1_R1.fq.gz	C9_IgG_1_R2.fq.gz	C9_IgG
WT_me3_2	WT_me3_2_R1.fq.gz	WT_me3_2_R2.fq.gz	WT_me3
C5_me3_2	C5_me3_2_R1.fq.gz	C5_me3_2_R2.fq.gz	C5_me3
C9_me3_2	C9_me3_2_R1.fq.gz	C9_me3_2_R2.fq.gz	C9_me3
WT_ac_2	WT_ac_2_R1.fq.gz	WT_ac_2_R2.fq.gz	WT_ac
C5_ac_2	C5_ac_2_R1.fq.gz	C5_ac_2_R2.fq.gz	C5_ac
C9_ac_2	C9_ac_2_R1.fq.gz	C9_ac_2_R2.fq.gz	C9_ac
